Date,Demand
2010-12-02,8
2010-12-03,0
2010-12-04,0
2010-12-05,1
2010-12-06,9
2010-12-07,73
2010-12-08,0
2010-12-09,8
2010-12-10,8
2010-12-11,0
2010-12-12,1
2010-12-13,15
2010-12-14,12
2010-12-15,0
2010-12-16,0
2010-12-17,0
2010-12-18,0
2010-12-19,0
2010-12-20,0
2010-12-21,2
2010-12-22,0
2010-12-23,1
2010-12-24,0
2010-12-25,0
2010-12-26,0
2010-12-27,0
2010-12-28,0
2010-12-29,0
2010-12-30,0
2010-12-31,0
2011-01-01,0
2011-01-02,0
2011-01-03,0
2011-01-04,8
2011-01-05,1
2011-01-06,75
2011-01-07,24
2011-01-08,0
2011-01-09,0
2011-01-10,1
2011-01-11,7
2011-01-12,44
2011-01-13,0
2011-01-14,82
2011-01-15,0
2011-01-16,0
2011-01-17,2
2011-01-18,2
2011-01-19,9
2011-01-20,0
2011-01-21,1
2011-01-22,0
2011-01-23,0
2011-01-24,24
2011-01-25,88
2011-01-26,16
2011-01-27,1
2011-01-28,5
2011-01-29,0
2011-01-30,0
2011-01-31,8
2011-02-01,83
2011-02-02,2
2011-02-03,0
2011-02-04,8
2011-02-05,0
2011-02-06,0
2011-02-07,9
2011-02-08,5
2011-02-09,36
2011-02-10,0
2011-02-11,11
2011-02-12,0
2011-02-13,4
2011-02-14,72
2011-02-15,3
2011-02-16,3
2011-02-17,42
2011-02-18,0
2011-02-19,0
2011-02-20,8
2011-02-21,0
2011-02-22,5
2011-02-23,13
2011-02-24,24
2011-02-25,8
2011-02-26,0
2011-02-27,8
2011-02-28,16
2011-03-01,32
2011-03-02,0
2011-03-03,155
2011-03-04,6
2011-03-05,0
2011-03-06,0
2011-03-07,12
2011-03-08,80
2011-03-09,12
2011-03-10,72
2011-03-11,3
2011-03-12,0
2011-03-13,0
2011-03-14,40
2011-03-15,1
2011-03-16,2
2011-03-17,10
2011-03-18,12
2011-03-19,0
2011-03-20,0
2011-03-21,9
2011-03-22,9
2011-03-23,0
2011-03-24,0
2011-03-25,17
2011-03-26,0
2011-03-27,0
2011-03-28,20
2011-03-29,1
2011-03-30,0
2011-03-31,2
2011-04-01,9
2011-04-02,0
2011-04-03,1
2011-04-04,2
2011-04-05,6
2011-04-06,5
2011-04-07,1
2011-04-08,4
2011-04-09,0
2011-04-10,12
2011-04-11,3
2011-04-12,48
2011-04-13,8
2011-04-14,4
2011-04-15,1
2011-04-16,0
2011-04-17,6
2011-04-18,5
2011-04-19,16
2011-04-20,13
2011-04-21,27
2011-04-22,0
2011-04-23,0
2011-04-24,0
2011-04-25,0
2011-04-26,23
2011-04-27,1
2011-04-28,0
2011-04-29,0
2011-04-30,0
2011-05-01,10
2011-05-02,0
2011-05-03,8
2011-05-04,0
2011-05-05,16
2011-05-06,27
2011-05-07,0
2011-05-08,0
2011-05-09,26
2011-05-10,2
2011-05-11,13
2011-05-12,26
2011-05-13,38
2011-05-14,0
2011-05-15,0
2011-05-16,20
2011-05-17,73
2011-05-18,0
2011-05-19,0
2011-05-20,36
2011-05-21,0
2011-05-22,8
2011-05-23,0
2011-05-24,0
2011-05-25,0
2011-05-26,0
2011-05-27,2
2011-05-28,0
2011-05-29,0
2011-05-30,0
2011-05-31,8
2011-06-01,16
2011-06-02,0
2011-06-03,1
2011-06-04,0
2011-06-05,8
2011-06-06,0
2011-06-07,0
2011-06-08,20
2011-06-09,20
2011-06-10,25
2011-06-11,0
2011-06-12,16
2011-06-13,0
2011-06-14,2
2011-06-15,0
2011-06-16,0
2011-06-17,1
2011-06-18,0
2011-06-19,14
2011-06-20,16
2011-06-21,9
2011-06-22,0
2011-06-23,0
2011-06-24,0
2011-06-25,0
2011-06-26,0
2011-06-27,0
2011-06-28,5
2011-06-29,5
2011-06-30,1
2011-07-01,2
2011-07-02,0
2011-07-03,0
2011-07-04,1
2011-07-05,5
2011-07-06,12
2011-07-07,76
2011-07-08,9
2011-07-09,0
2011-07-10,2
2011-07-11,0
2011-07-12,29
2011-07-13,0
2011-07-14,2
2011-07-15,1
2011-07-16,0
2011-07-17,0
2011-07-18,0
2011-07-19,7
2011-07-20,0
2011-07-21,0
2011-07-22,5
2011-07-23,0
2011-07-24,0
2011-07-25,4
2011-07-26,16
2011-07-27,0
2011-07-28,2
2011-07-29,0
2011-07-30,0
2011-07-31,12
2011-08-01,1
2011-08-02,17
2011-08-03,8
2011-08-04,0
2011-08-05,8
2011-08-06,0
2011-08-07,0
2011-08-08,0
2011-08-09,8
2011-08-10,76
2011-08-11,0
2011-08-12,10
2011-08-13,0
2011-08-14,0
2011-08-15,4
2011-08-16,6
2011-08-17,4
2011-08-18,24
2011-08-19,8
2011-08-20,0
2011-08-21,2
2011-08-22,12
2011-08-23,16
2011-08-24,1
2011-08-25,0
2011-08-26,0
2011-08-27,0
2011-08-28,0
2011-08-29,0
2011-08-30,4
2011-08-31,0
2011-09-01,0
2011-09-02,11
2011-09-03,0
2011-09-04,0
2011-09-05,0
2011-09-06,11
2011-09-07,0
2011-09-08,10
2011-09-09,3
2011-09-10,0
2011-09-11,0
2011-09-12,0
2011-09-13,3
2011-09-14,0
2011-09-15,0
2011-09-16,4
2011-09-17,0
2011-09-18,0
2011-09-19,0
2011-09-20,2
2011-09-21,76
2011-09-22,88
2011-09-23,11
2011-09-24,0
2011-09-25,0
2011-09-26,0
2011-09-27,0
2011-09-28,16
2011-09-29,24
2011-09-30,0
2011-10-01,0
2011-10-02,0
2011-10-03,7
2011-10-04,0
2011-10-05,72
2011-10-06,2
2011-10-07,3
2011-10-08,0
2011-10-09,0
2011-10-10,0
2011-10-11,9
2011-10-12,0
2011-10-13,0
2011-10-14,2
2011-10-15,0
